name,job_description,website_url,label,email_domain
Flipkart,"Jun 2, 2024 ... Securing an internship at Flipkart can be an exciting opportunity to launch your career in the e-commerce domain. As one of India's largest ...",https://blog.internshala.com/how-to-get-an-internship-in-flipkart/,1,
Flipkart,Apply for internship at Flipkart on Internshala. Find the latest paid internship opportunites at Flipkart in India.,https://internshala.com/internships/internship-at-flipkart/,1,
Flipkart,"Jun 26, 2024 ... ... internship in Flipkart to learn about the internship programs, application process, etc. FAQs. Q1. Does Flipkart provide internship ...",https://blog.internshala.com/how-to-get-job-in-flipkart/,1,
Paytm,Apply for internship at Paytm on Internshala. Find the latest paid internship opportunites at Paytm in India.,https://internshala.com/internships/internship-at-paytm/,1,
Paytm,"Mar 13, 2018 ... Looking for Paytm summer internships? Take a peek at the Paytm recruitment process and get your dream internship.",https://blog.internshala.com/how-to-get-an-internship-at-paytm/,1,
Paytm,Internship stipends at Paytm · Business Analytics · Market Research · Talent Acquisition · Recruitment · Social Influncer Onboarding · Content Writing · Search Engine ...,https://internshala.com/company/paytm-1721040171/salaries-perks/,1,
Ola,"Apr 23, 2018 ... Take a peek into Ola's recruitment process and enhance your chances of securing an internship at Ola.",https://blog.internshala.com/how-to-get-an-internship-at-ola/,1,
Ola,"Internshala presents the biggest internship event of this summer i.e. Mega Internship Sprint! Get access to 85000+ internships with top brands like Ola, ...",https://internshala.com/mega-internship-sprint/,1,
Ola,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship HR Internship ...,https://internshala.com/information-technology-companies/,1,
Uber,"Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Uber, and ...",https://internshala.com/internships/front-end-development-internship/,1,
Uber,"Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Uber, and ...",https://internshala.com/internships/full-stack-development-internship/,1,
Uber,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Uber Technologies.,https://internshala.com/internships/internship-in-vizianagaram/,1,
Samsung,"Nov 22, 2016 ... Samsung has dedicated internship programs for engineering undergraduates, postgraduates, and MBA students which generally last over a period of 10 weeks.",https://blog.internshala.com/how-to-get-an-internship-at-samsung/,1,
Samsung,Apply for internship at Samsung on Internshala. Find the latest paid internship opportunites at Samsung in India.,https://internshala.com/internships/internship-at-samsung/,1,
Samsung,"Jan 2, 2022 ... He started interning at the end of his first year and shares how he scored an internship at Samsung this year. In my first year at college ...",https://blog.internshala.com/kickstarting-my-career-with-multiple-internships-at-startups-and-samsung/,1,
HCL Technologies,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... HCL Technologies.,https://internshala.com/internships/internship-at-apidel-technologies/,1,
HCL Technologies,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... HCL Technologies.,https://internshala.com/internships/internship-at-kunduz-technologies-private-limited/,1,
HCL Technologies,"Sep 13, 2024 ... During my internship at [Previous Internship Company Name], I could ... HCL Technologies, behavioural questions play a pivotal role in ...",https://blog.internshala.com/hcl-hr-interview-questions/,1,
Cognizant,"Feb 3, 2017 ... ... Cognizant internship 2017. Students pursuing MBA can apply for Cognizant Business Consulting (CBC) summer internships and there are many ...",https://blog.internshala.com/how-to-get-an-internship-in-cognizant/,1,
Cognizant,"Jul 7, 2024 ... How to Apply for a Job in Cognizant? Step-by-Step Guide. LOGO. Your favourite senior outside college. Home. Internship & Job Tips. Internship ...",https://blog.internshala.com/how-to-apply-for-a-job-in-cognizant/,1,
Cognizant,"May 9, 2025 ... Using accurate locators is critical for stable and reliable test scripts. Pro Tip: As a fresher looking to join Cognizant, getting an internship ...",https://blog.internshala.com/cognizant-automation-testing-interview-questions/,1,
JP Morgan Chase,"Jun 30, 2024 ... You can filter by location, division (e.g., Investment Banking, Technology), job type (full-time, internship), and more. JPMorgan Chase ...",https://blog.internshala.com/how-to-get-a-job-in-jp-morgan/,1,
JP Morgan Chase,"May 26, 2025 ... ... Internship Electronics Internship Content Writing Internship Civil Internship Campus Ambassador Program View all internships ... JP Morgan Chase ...",https://internshala.com/job/detail/account-specialist-i-job-in-mumbai-at-jp-morgan-chase-and-co1748252930,1,
JP Morgan Chase,"May 26, 2025 ... ... JP Morgan Chase ... Internship Electronics Internship Content Writing Internship Civil Internship Campus Ambassador Program View all internships.",https://internshala.com/job/detail/asset-management-investment-specialist-tech--associate-job-in-mumbai-at-jp-morgan-chase-and-co1748256635,1,
Goldman Sachs,"Sep 2, 2015 ... The best learning before even joining was they helped me identify “my spark on finance”. My internship started on June 1, 2015, at Goldman Sachs ...",https://blog.internshala.com/internship-goldman-sachs-761/,1,
Goldman Sachs,"Nov 13, 2024 ... In this guide on how to secure an internship at Goldman Sachs, we will explore the various internship opportunities available, each offering valuable hands-on ...",https://blog.internshala.com/how-to-get-an-internship-at-goldman-sachs/,1,
Goldman Sachs,"Jul 1, 2024 ... Internship & Job Tips. Internship Tips · Tips & Tricks · Learning Tracks ... Learn with Goldman Sachs: The Learn with Goldman Sachs program ...",https://blog.internshala.com/how-to-get-job-in-goldman-sachs/,1,
Morgan Stanley,Apply for internship at Morgan Stanley on Internshala. Find the latest paid internship opportunites at Morgan Stanley in India.,https://internshala.com/internships/internship-at-morgan-stanley/,1,
Morgan Stanley,"Jun 14, 2018 ... Looking for a summer internship at Morgan Stanley? Take a peek at Morgan Stanley internships and their hiring process and land yourself an ...",https://blog.internshala.com/how-to-get-an-internship-at-morgan-stanley/,1,
Morgan Stanley,Financial Control Group Industrial Trainee Program internship in Mumbai by Morgan Stanley. View the internship details & apply to get your dream job!,https://internshala.com/internship/detail/financial-control-group-industrial-trainee-program-internship-in-mumbai-at-morgan-stanley1747235169,1,
Qualcomm,Interim Engineering Intern – Software internships by Qualcomm. View the internship details & apply to get your dream job!,https://internshala.com/internship/detail/interim-engineering-intern--software-internship-in-multiple-locations-at-qualcomm1743238757,1,
Qualcomm,Interim Engineering Intern – Hardware internships by Qualcomm. View the internship details & apply to get your dream job!,https://internshala.com/internship/detail/interim-engineering-intern--hardware-internship-in-multiple-locations-at-qualcomm1743239367,1,
Qualcomm,Interim Engineering Intern internships by Qualcomm. View the internship details & apply to get your dream job!,https://internshala.com/internship/detail/interim-engineering-intern-internship-in-multiple-locations-at-qualcomm1743141587,1,
ABB,"Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... ABB, Avery ...",https://internshala.com/company/talview-1457327342/,1,
ABB,"5 days ago ... Leshrac Electricals are into trading and wholesale of electrical fittings. We are stockists of multiple brands like Legrand, ABB, Polycab, ...",https://internshala.com/internship/detail/recruitment-internship-in-delhi-at-leshrac-electricals-pvt-ltd1748859719,1,
ABB,"May 30, 2024 ... Internship & Job Tips. Internship Tips · Tips & Tricks · Learning ... ABB India is one of the leading organizations in the fields of power ...",https://blog.internshala.com/highest-paying-electrical-engineering-companies/,1,
VMware,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... VMWARE and ...,https://internshala.com/company/new-wave-computing-private-limited-1486973673/,1,
VMware,"May 30, 2025 ... ... Internship Electronics Internship Content Writing Internship Civil Internship Campus Ambassador Program View all internships ... VMware ...",https://internshala.com/job/detail/remote-senior-infrastructure-storage-job-at-intineri-infosol-private-limited1747701021,1,
VMware,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... VMWARE ...,https://internshala.com/company/traincape-technology-1724138108/,1,
Schneider Electric,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Schneider Electric ...,https://internshala.com/company/staragile-consulting-1652969918/,1,
Schneider Electric,"Oct 15, 2024 ... Internship & Job Tips. Internship Tips · Tips & Tricks · Learning ... Schneider Electric; Crompton Greaves; Havells; Adani Group; Honeywell.",https://blog.internshala.com/electrical-engineer-salary-in-india/,1,
Schneider Electric,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Schneider Electric ...,https://internshala.com/company/vision-india-services-private-limited-1464149687/,1,
HP,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... HP ...,https://internshala.com/company/hp-adhesives-limited-1721194055/,1,
HP,... HP across ... Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ...,https://internshala.com/jobs/jobs-in-himachal-pradesh/,1,
HP,"Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... HP, etc.",https://internshala.com/company/novatech-software-private-limited-1619497097/,1,
Unilever,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Unilever ...,https://internshala.com/company/ddb-mudra-private-limited-ddb-mudra-group-1665126122/,1,
Unilever,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Unilever ...,https://internshala.com/company/kokana-asia-ingredients-1705596224/,1,
Unilever,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Unilever ...,https://internshala.com/company/carpediem-1454995541/,1,
ITC Limited,Internship stipends at ITC Limited (Foods Division) · Marketing · Consumer Activation · Data Analytics · Supply Chain Management (SCM) · Commis Chef · Human Resources ...,https://internshala.com/company/itc-limited-foods-division-1662791064/salaries-perks/,1,
ITC Limited,"May 27, 2025 ... Automation Projects - Office 365 internship in Bangalore by ITC Limited (Foods Division). View the internship details & apply to get your ...",https://internshala.com/internship/detail/automation-projects-office-365-internship-in-bangalore-at-itc-limited-foods-division1748406289,1,
ITC Limited,"Jul 30, 2024 ... ITC Limited is a renowned Indian conglomerate with a significant ... Summer Internship Program. ITC's Knowledge, Initiative & Talent ...",https://blog.internshala.com/how-to-get-a-job-at-itc-company/,1,
Asian Paints,"We regularly work with companies like Asian Paints, Berger, Bajaj Consumer Care, Glenmark, Mcleaod Pharma, Novartis, Adama which is a part of Syngenta Group ...",https://internshala.com/internship/detail/chemical-engineering-internship-in-noida-at-indsafe-consulting-systems1749208130,1,
Asian Paints,"Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Asian Paints, EY, ...",https://internshala.com/internship/detail/work-from-home-part-time-video-editing-making-internship-at-crossing-hurdles1749110515,1,
Asian Paints,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Asian Paints ...,https://internshala.com/company/alan-scott-automation-robotics-ltd-1737021621/,1,
Mahindra & Mahindra,... Internship Electronics Internship Content Writing Internship Civil Internship Campus Ambassador Program View all internships ... Mahindra & Mahindra. Share ...,https://internshala.com/company/mahindra-mahindra-1427365404/,1,
Mahindra & Mahindra,... Internship Electronics Internship Content Writing Internship Civil Internship Campus Ambassador Program View all internships ... Mahindra & Mahindra ...,https://internshala.com/company/mahindra-insurance-brokers-1531312168/,1,
Mahindra & Mahindra,"May 26, 2025 ... ... Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Mahindra & Mahindra Financial Services Limited. MIBL was ...",https://internshala.com/internship/detail/talent-acquisition-internship-in-multiple-locations-at-mahindra-insurance-brokers-limited1748328676,1,
L&T,"Nov 30, 2021 ... L&T offers training / internship to undergraduate students in Civil, Mechanical, Electrical and Instrumentation / Electronics stream.",https://blog.internshala.com/internship-at-larsen-toubro-construction/,1,
L&T,"Internship stipends at L&T Finance Holdings Limited. Human Resources (HR). ₹ 15,000 /month. Perks and benefits at L&T Finance Holdings Limited. Certificate.",https://internshala.com/company/l-t-finance-holdings-limited-1583302782/salaries-perks/,1,
L&T,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... L&T ...,https://internshala.com/company/larsen-toubro-1721204892/,1,
Reliance Industries,Apply for internship at Reliance Industries Limited on Internshala. Find the latest paid internship opportunites at Reliance Industries Limited in India.,https://internshala.com/internships/internship-at-reliance-industries-limited/,1,
Reliance Industries,"Jan 21, 2025 ... Internship & Job Tips. Internship Tips · Tips & Tricks · Learning Tracks ... 45 Reliance Industries Interview Questions: Ace Your Interviews!",https://blog.internshala.com/reliance-industries-interview-questions-and-answers/,1,
Reliance Industries,Apply for internship at Reliance Industries on Internshala. Find the latest paid internship opportunites at Reliance Industries in India.,https://internshala.com/internships/internship-at-reliance-industries/,1,
Aditya Birla Group,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Aditya Birla Group.,https://internshala.com/company/aditya-birla-group-1672238624/careers/,1,
Aditya Birla Group,Computer Science Internship Marketing Internship Finance Internship Graphic Design Internship Architecture Internship Mechanical Internship ... Aditya Birla Group ...,https://internshala.com/internships/internship-at-aditya-birla-capital/,1,
Aditya Birla Group,3 days ago ... Marketing internship in Mumbai by Aditya Birla Group. View the internship details & apply to get your dream job!,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-aditya-birla-group1749021619,1,
HDFC Bank,"Nov 5, 2024 ... This comprehensive guide will walk you through the different internship opportunities at HDFC Bank, the application process, and valuable tips to help you ...",https://blog.internshala.com/how-to-apply-for-an-internship-at-hdfc-bank/,1,
HDFC Bank,"Internship stipends at HDFC Bank Limited. Human Resources (HR). ₹ 12,000 /month. Recruitment. ₹ 7,500 /month. Human Resources. ₹ 7,500 /month ...",https://internshala.com/company/hdfc-bank-limited-1450251725/salaries-perks/,1,
HDFC Bank,"Sep 2, 2016 ... Kaveri Sinha, a student from Welingkar Institute of Management Development and Research, shares her internship experiences at HDFC Bank Ltd.",https://blog.internshala.com/internship-hdfc-bank-kaveri-school/,1,
ICICI Bank,"Jul 1, 2024 ... ICICI Bank offers exciting internship opportunities for students and young professionals looking to begin their careers in the banking and ...",https://blog.internshala.com/how-to-apply-for-internship-in-icici-bank/,1,
ICICI Bank,"Feb 8, 2024 ... Internship & Job Tips. Internship Tips · Tips & Tricks · Learning Tracks ... In this blog post, we have shared the top ICICI bank interview ...",https://blog.internshala.com/icici-bank-interview-questions-and-answers/,1,
ICICI Bank,"Mar 2, 2024 ... Discover ICICI Bank PO interview questions with our ... Internship & Job Tips. Internship Tips · Tips & Tricks · Learning Tracks.",https://blog.internshala.com/icici-bank-po-interview-questions/,1,
